Title,Genre,Ratings,Vote_Counts,Runtime
Bangsal Isolasi,horror,4.8,177,76
Bannkorb,horror,5.3,86,90
Bantay-bahay,horror,5.1,16,86
Barda,horror,4.6,686,99
Bare,horror,5.3,86,90
Baridegi: The abandoned Girl,horror,3.4,18,107
Basileia,horror,4.2,59,96
Beach Chain,horror,5.3,86,90
Bed of Nails,horror,4.8,28,104
Bedtime Stories: Tales of Love and Hate,horror,7.7,15,65
Beetlejuice Beetlejuice,horror,6.6,156000,105
Beezel,horror,4.9,1600,81
Behave,horror,3.0,207,88
Behold the Claw,horror,5.6,17,75
Believe Me or Not,horror,5.3,86,90
Believer,horror,4.6,440,108
Belldoor,horror,5.3,86,90
Beneath the Floorboard,horror,5.3,86,90
Bernadette will töten,horror,8.4,23,93
Bet on Black,horror,5.3,86,90
Betting with Ghost,horror,6.5,95,112
Bhairadevi,horror,8.6,53,134
Bhavanam: The Haunted House,horror,6.9,18,139
Bhool Bhulaiyaa 3,horror,4.6,78000,158
Bhootarth,horror,5.3,86,90
Bhootpori,horror,5.7,217,110
Biaz: Kara Iyenin Laneti,horror,5.1,405,89
Big Bad CGI Monsters,horror,4.4,39,60
Big Cats,horror,3.1,147,93
Big/Bad/Wolf,horror,4.0,7,90
Bigfoot,horror,5.5,27,90
Bigfoot Exorcist,horror,2.7,227,70
Bigfoot: The Movie - The Sequel,horror,5.4,15,90
Bijt,horror,5.8,54,105
Bisikan Setan,horror,6.7,11,88
Biswas Villa-An Unfinished Story,horror,8.6,21,90
Bitches Giving Stitches,horror,5.3,86,80
Black,horror,7.1,2900,115
Black Cab,horror,4.1,1900,88
Black Spines,horror,6.9,24,100
Black Theta,horror,7.4,11,109
Black Vale: Wolfsbane,horror,5.3,86,88
BlackOut,horror,7.2,22,90
Blackest Darkness,horror,5.5,75,76
Blackwater Lane,horror,4.6,2400,108
Bleeding,horror,4.3,364,97
Blodsuger,horror,6.7,9,94
Bloedhond,horror,5.3,86,92
Blood Debt,horror,5.4,209,100
Blood Demons,horror,5.3,86,134
Blood Dried Hands,horror,6.2,169,115
Blood Fight,horror,5.3,86,79
Blood Magick,horror,9.1,12,99
Blood Mountain Massacre,horror,5.0,44,89
Blood Red River Bed,horror,6.3,20,90
Blood Star,horror,6.3,6200,97
Blood and Black,horror,7.1,1100,88
Blood and Breakfast,horror,5.8,31,84
Blood of the Werewolf's Claw,horror,5.3,86,90
BloodWood,horror,5.3,86,89
Bloodline Killer,horror,4.2,5200,105
Bloodspawn,horror,6.6,14,76
Bloody Axe Wound,horror,5.0,1000,83
Bloody Bridget,horror,7.0,54,81
Bloody Ishq,horror,2.9,2200,138
Bloody Mary,horror,3.8,7,72
Bloody Trip: The Equinox Killer,horror,4.9,82,80
Blue Caveman,horror,5.3,86,90
Blurred Lines,horror,5.3,86,90
Bo Alajen,horror,5.3,86,90
Body & Soul,horror,3.1,43,75
Bogieville,horror,4.0,655,108
Bone Lake,horror,5.3,86,94
Boney Island Reality Show,horror,4.2,23,87
Boo Main Dargi,horror,6.2,23,90
Book of the Dead,horror,5.4,78,90
Bored Games,horror,3.5,120,76
Brain Tumor,horror,3.8,51,76
Bramayugam,horror,7.8,15000,139
Brandon Sigloch's the Riverside Slasher,horror,5.3,86,90
Bridge,horror,3.7,13,78
Bring Me a Skin for Dancing In,horror,4.1,195,90
Bring on the Damned!,horror,4.9,45,114
Broken Bird,horror,5.8,129,99
Bull Shark 3,horror,3.5,96,76
Bungalow Section 12,horror,2.4,61,88
Bunny Man Slaughter,horror,6.3,23,90
Bureau 749,horror,3.9,587,123
Burning,horror,8.0,6,101
Burning Butterflies,horror,7.8,94,103
Bury Your Dead,horror,5.4,82,128
Busted Babies,horror,7.7,14,87
Butchers Book Three: Bonesaw,horror,4.9,127,107
Butchers Book Two: Raghorn,horror,4.1,668,88
Buzz House: The Movie,horror,3.2,1300,93
Bystanders,horror,4.0,393,82
Byte,horror,3.4,162,97
Büyücü,horror,5.3,86,90
C202,horror,4.9,2200,135
Cacophony the Animated Movie,horror,5.3,86,81
Cadet,horror,6.9,60,126
Cadi,horror,6.3,4400,134
Camp Blood 9: Bride of Blood,horror,6.5,521,90
Camp Blood: Clown Shark,horror,3.3,96,70
Camp Pleasant Lake,horror,3.3,2400,90
Camp Terror,horror,4.4,40,110
Campfire Dead by Dawn,horror,3.0,65,87
Campton Manor,horror,3.4,245,83
Cara,horror,6.1,61,96
Carnage for Christmas,horror,4.5,351,69
Carved,horror,4.4,2900,95
Case 19: Vichchhiya,horror,5.3,86,90
Cast Party,horror,5.3,86,90
Catch a Killer,horror,5.8,14,82
Cellphone,horror,3.0,754,88
Chain Reactions,horror,7.1,115,103
Chainsaws Were Singing,horror,7.2,390,117
Changle zhen gui shi,horror,5.3,86,88
Chasing Zombies: A George Romero Tribute,horror,8.9,7,105
Chateau,horror,4.0,296,83
Cheongsam Merah Darah,horror,5.7,11,90
Chime,horror,6.4,2700,90
Chithini,horror,5.9,552,151
Choke,horror,7.5,22,98
Cholo Zombies,horror,4.5,107,96
Christmas Slasher,horror,5.4,9,90
Christmas Spirit,horror,5.3,86,150
Chum!,horror,3.4,78,90
Chuzalongo,horror,6.8,6,95
Cieco sordo muto,horror,7.1,9,85
Cin Bebek: Kabus,horror,5.3,86,82
Cin Cukuru,horror,5.3,86,70
Cin Daveti,horror,3.2,7,90
Cin Günü,horror,5.3,86,80
Cin Hapishanesi,horror,5.3,86,75
Cin Köyü,horror,1.0,16,75
Cinderella's Curse,horror,3.4,1400,82
Cinderella's Revenge,horror,3.7,1200,85
Cintihar,horror,2.6,10,77
City of Oz,horror,5.3,86,90
Ciudad Oculta,horror,4.5,13,96
Clawface,horror,8.6,14,98
Claws,horror,5.8,8,96
Clickbait: Unfollowed,horror,4.9,610,90
Cloud,horror,6.3,1700,124
Clown II,horror,7.5,13,141
Clownface 3,horror,8.2,55,104
Cocaine Werewolf,horror,2.4,312,80
Coffintooth,horror,5.3,86,90
Cold Blooded,horror,4.2,17,78
Cold Blows the Wind,horror,5.7,804,85
Colour Palette,horror,9.4,52,87
Compression,horror,8.0,15,124
Compulsion,horror,6.6,33,90
Condemned,horror,8.8,11,72
Conexão com o Mal,horror,7.0,31,133
Conjuring the Cult,horror,4.3,939,93
Consumed,horror,3.7,650,89
Continente,horror,5.1,97,115
Cora,horror,4.5,948,104
Corpórea,horror,5.9,8,90
Corridor 13,horror,5.3,86,101
Cose nere,horror,5.3,86,83
Coven of the Black Cube,horror,7.2,28,97
Crackcoon,horror,3.6,457,88
Creep Encounters,horror,4.1,134,72
Creepy Man Returns,horror,5.3,86,90
Creepy Man the Final Battle,horror,5.3,86,90
Creepy Uncle Frankie,horror,5.3,86,90
Creepypasta: Deathnet,horror,3.4,66,90
Crescent City,horror,3.9,1500,103
Crispy,horror,3.4,96,76
Cross Roads,horror,5.3,86,90
Cruel Summer III: Pray for Fall,horror,4.4,19,109
Cruel: The Cross Village Encounter,horror,4.5,46,90
Crust,horror,6.0,249,102
Cryptic Triptych,horror,7.6,9,90
Cuckoo,horror,5.7,29000,102
Cult of Blood,horror,3.6,77,90
Curse of the Naked Ghost Hunters,horror,5.1,24,90
Curse of the Seven Oceans,horror,5.5,529,94
Curse of the Sin Eater,horror,4.9,813,90
Cursed,horror,4.2,143,81
Cursed,horror,5.3,86,90
Cursed Waters: Creature of Lake Okanagan,horror,5.3,86,90
Cursed in Baja,horror,6.3,29,80
Curtains for Christmas,horror,5.5,68,70
Custom,horror,6.7,44,76
Dabba,horror,5.0,22,75
Daddy's Head,horror,5.6,5500,92
Daemon Mind,horror,4.7,34,101
Daft State,horror,6.3,51,90
Dagr,horror,4.1,2800,77
Dan Da Dan: First Encounter,horror,8.2,3100,83
Dancing Village: The Curse Begins,horror,5.7,4200,122
Dank Frank,horror,5.3,86,83
Dante's Inferno,horror,5.3,86,90
Danyang Mahar Tukar Nyawa,horror,5.9,10,110
Darah Nyai,horror,5.3,86,90
Dare to Stay,horror,5.3,86,90
Dark Chronicles,horror,4.1,8,75
Dark Match,horror,5.4,1200,94
Dark Motel,horror,5.3,86,80
DarkGame,horror,4.6,2900,100
Darkness,horror,5.3,86,90
Darkness Hunting,horror,4.9,9,72
Darling,horror,5.2,758,159
Darr Awaaz,horror,5.3,86,90
Dashboard Dogs,horror,5.3,86,90
Dating Horror Stories,horror,4.3,7,90
Daughters of the Naked goddess,horror,5.3,86,90
Day of the Clones,horror,3.8,62,98
Day of the Wicked,horror,5.3,86,97
Daylight to Dark,horror,3.6,8,90
Dead Body,horror,3.7,41,135
Dead Boys Club,horror,6.3,26,105
Dead Fun,horror,9.0,12,61
Dead Mail,horror,6.0,2200,106
Dead Men,horror,5.3,86,90
Dead Name,horror,9.0,11,84
Dead Rock,horror,5.3,86,71
Dead Talents Society,horror,7.0,2600,111
Dead Talk Tales: Volume I,horror,6.6,27,98
Dead Teenagers,horror,3.3,149,80
Dead Whisper,horror,3.8,566,88
Dead-End,horror,8.2,6,90
Deadbolt,horror,4.6,333,83
Deadly Culture: Final Mutation,horror,2.7,57,69
Deadly Culture: Species X,horror,2.9,62,71
Deadly Retreat,horror,4.9,112,90
Dear Mother Ghost,horror,5.3,86,75
Death,horror,6.1,16,77
Death After Dusk,horror,5.6,93,140
Death Bitch,horror,7.3,22,88
Death Perception,horror,5.3,86,106
Death Ph.D,horror,2.0,143,107
Death Streamer,horror,3.1,234,72
Death Streamer: Noir Version,horror,5.3,86,72
Death Web,horror,5.5,84,64
Death Whisperer 2,horror,6.3,1600,110
Death's Sonata,horror,8.3,496,103
Decayed Network,horror,5.3,86,108
Decibel,horror,5.2,9,90
Delicate Arch,horror,5.3,52,85
Demo_n,horror,5.0,44,70
Demon Stalker,horror,2.2,7,97
Demon: Azab-ül Kem,horror,5.8,52,90
Demons vs. Ghosts,horror,7.7,7,92
Demonte Colony 2,horror,6.6,4600,144
Der Doktor - L'ombra della morte,horror,5.3,18,90
Der Dritte Gast,horror,3.3,42,73
Desert Fiends,horror,4.9,878,106
Desert Road,horror,6.8,168,90
"Destination: Hollywood, California",horror,5.3,86,90
Destroy All Neighbors,horror,5.3,2100,85
Deviant,horror,5.0,47,80
Devil,horror,4.5,1600,118
Devil Hunters,horror,8.7,129,120
Devil on Stalk,horror,5.3,86,90
Devil's Horns,horror,4.6,128,81
Devil's Punchbowl,horror,4.2,27,90
Devils Stay,horror,4.8,353,95
Devon,horror,2.6,310,72
Diary of A Necro Piggy,horror,5.3,86,90
Die Alone,horror,5.8,4100,90
Dinner with Leatherface,horror,7.3,40,106
Dinosaur Hotel 3,horror,2.7,165,74
Director's Cut,horror,7.5,101,90
Dirty Boy,horror,7.7,38,98
Disremembered,horror,4.8,140,104
Diwe,horror,5.3,86,90
Do Not Enter,horror,5.3,671,85
Do Not Open,horror,2.6,283,91
Do You See Me?,horror,4.1,7,88
Do You See What I See,horror,5.4,703,109
Dogman Territory: Werewolves in the Land Between the Lakes,horror,5.6,36,90
Doll,horror,5.3,86,90
Dominion of Darkness,horror,5.6,860,96
Dominus,horror,5.3,86,84
Domovoy,horror,4.3,299,102
Don Dukun,horror,7.1,60,98
Don't Break the Rules,horror,2.7,56,97
Don't Look Back... I Know Your Origins,horror,3.6,113,104
Don't Make a Sound,horror,3.7,42,80
Don't Move,horror,5.8,41000,92
Don't Open the Book,horror,5.3,86,90
Don't Open the Box,horror,7.0,9,90
Don't Open the Door,horror,6.6,8400,87
Dont,horror,5.3,86,90
Dooba Dooba,horror,7.1,16,76
Doom Walker,horror,5.3,86,65
Doors. Hotel Mystery,horror,5.3,86,90
Dosa Musyrik,horror,6.6,16,92
Dosen Ghaib: It's Nighttime or You Already Know,horror,4.1,321,94
Down Below,horror,2.6,207,93
Down for the Count,horror,5.3,86,90
Dr. Jason II - Lights & Shadows,horror,4.9,334,62
Dr. Sander's Sleep Cure,horror,6.5,1100,102
Dracula: The Count's Kin,horror,5.2,50,90
Drained,horror,4.5,333,107
DreadClub: Vampire's Verdict,horror,4.8,64,88
Dream,horror,5.3,86,81
Dream of Deceit,horror,5.3,86,90
Dreams of flesh,horror,6.2,11,60
Dreams of the Dead,horror,5.3,86,82
Drive Back,horror,4.5,673,94
Drive Recorder Spirit,horror,5.3,86,90
Drone,horror,5.3,86,84
Drops from Hell,horror,5.3,86,90
Dukhad patr,horror,5.3,86,69
Dunwich Journals,horror,5.3,86,90
Dwiju,horror,4.7,16,85
EP/2,horror,5.3,86,68
Early Morning Calm,horror,8.7,22,90
Earworm,horror,2.4,218,101
Easter Bloody Easter,horror,3.3,316,103
Easter Evil,horror,1.5,152,72
Echoes in the Dark,horror,5.3,86,107
Echoes of Crystal Lake: A Friday the 13th Story,horror,8.4,16,90
Effigy,horror,2.8,265,78
El Centinela de las Ánimas,horror,5.3,86,90
El Juego 2: La Maldición del Bosque,horror,5.9,33,97
El Kafirun,horror,6.8,19,70
El banquete,horror,5.3,86,78
El día de la tormenta,horror,5.3,86,90
El instinto,horror,6.6,123,90
El tema del verano,horror,7.3,22,91
Elf in the Hood,horror,4.5,21,76
Else,horror,5.6,379,102
Embryonic,horror,5.3,86,75
Enasar: Sirayet-i Cin,horror,6.3,19,90
Erbsünde - Veil of Sin,horror,5.3,86,78
Erotik 2: The Beyond,horror,5.3,86,81
Erracheera,horror,5.3,86,90
Escape the City,horror,5.3,86,240
Espantaho,horror,4.8,242,90
Estela,horror,7.5,17,90
Etheria Film Night 2024,horror,7.2,12,112
EverMoreOutThere,horror,5.3,86,90
Everything Decays,horror,5.3,86,64
Evil in Me,horror,4.0,6,75
Exhuma,horror,6.9,25000,134
Exorcism Chronicles: The Beginning,horror,6.4,136,85
FPS,horror,4.2,18,60
Family,horror,6.8,33,95
Family Comes First,horror,8.2,6,65
Fangs Out: Blood Apocalypse,horror,4.9,20,90
Fara suflet,horror,6.5,8,95
Fatal Exposure,horror,5.3,86,90
Father's Haunted House,horror,5.9,358,93
Fear Cabin: The Last Weekend of Summer,horror,3.2,17,77
"Fear, Forget My Name",horror,5.3,86,90
Feed the Story Box,horror,5.3,86,90
Feet of Death,horror,3.9,236,106
Feng Shui,horror,5.3,86,90
Festival of the Living Dead,horror,4.3,673,88
Fiebre Caribe,horror,5.3,86,90
Fierce Killer Marsupial,horror,2.3,49,86
Final Girl: Halloween,horror,4.6,111,85
Finally Home,horror,5.3,86,63
Finger Licking,horror,4.8,17,89
Firework,horror,6.1,13,60
First Person Savior,horror,4.9,12,81
Five Friends,horror,6.7,988,112
Five Nights at Freddy's Minecraft Roleplay Movie,horror,5.3,86,84
Five Nights at Freddy's: La Storia Di Giovyx 2 (Fan-Film),horror,5.3,86,90
Five Nights at Freddy's: Shadow of Vanny,horror,5.3,86,81
Five Nights at TK's: The Curse of TK,horror,5.3,86,60
Flammentod,horror,5.3,86,60
Flesh of the Unforgiven,horror,9.1,45,88
Flora,horror,5.3,86,90
Florence,horror,5.3,86,79
Followers,horror,3.6,258,74
For God's Sake Wake Her Up,horror,7.2,7,90
For Sale,horror,4.9,682,115
Forbidden Tapes - Anthology of Terror,horror,5.4,8,61
Forgive Me Father,horror,3.5,124,77
Framed,horror,2.6,122,90
Frankie Freako,horror,5.6,1300,85
Freelance,horror,4.8,388,110
Frewaka,horror,6.1,1600,103
Frica De Noapte,horror,5.3,86,90
Fright,horror,6.3,76,81
Frights and Fears Vol 2,horror,5.3,86,90
From Darkness,horror,4.9,604,95
From Within,horror,5.3,86,90
Fábrica do Medo - Edição Comemorativa,horror,5.3,86,73
GOREphers: Final Gnaw,horror,5.3,86,62
Ga la,horror,4.2,28,97
Gacy: Serial Killer Next Door,horror,3.3,487,97
Gadi,horror,5.3,86,77
Game of Death: The Six Doors to Hell,horror,5.3,86,145
Garez,horror,2.8,19,90
Geethanjali Malli Vachindi,horror,4.8,2200,144
Gen 2,horror,3.4,14,90
Gentleman Caller,horror,8.5,9,103
Get Away,horror,5.3,7800,86
Ghost Ahead,horror,5.3,86,90
Ghost Bowl,horror,5.3,86,90
Ghost Game,horror,3.4,378,86
Ghost Island,horror,7.1,57,95
Ghost Killer,horror,6.8,105,105
Ghost Train,horror,4.5,9,94
Ghosted,horror,5.3,86,90
Ghostly Secrets of Hotel San Carlos,horror,5.3,86,83
Gizlenen,horror,3.6,8,90
Gla,horror,5.3,86,90
Go Away,horror,4.3,219,90
Goldilocks and the Three Bears: Death and Porridge,horror,2.1,2000,82
Golgota - Flor de Carne,horror,5.3,86,78
Gone with the Dead,horror,4.1,53,96
Gone: The Movie,horror,5.3,86,90
Good Boy,horror,5.3,86,90
Good Neighbours,horror,3.0,192,84
Grafted,horror,5.6,2700,96
Grandma,horror,6.2,6,90
Granny,horror,8.0,7,90
Granny Krampus,horror,2.6,126,81
Grave Torture,horror,6.2,3100,117
Graveyard Shark,horror,3.3,239,97
Grayson's Encounter,horror,7.3,22,70
Green Spaces,horror,5.3,86,90
Gregório & as Patricinhas,horror,5.3,86,90
Grimmwood,horror,7.8,14,90
Grotesque 2,horror,6.1,602,90
Guardian,horror,4.0,676,120
Guess Who,horror,4.8,377,93
Guna guna istri muda,horror,5.2,205,98
Gunfighter Paradise,horror,8.8,18,90
Guys at Parties Like It,horror,3.9,174,79
H. P. Lovecraft's the Old Ones,horror,3.6,414,84
H.P. Lovecraft's the Shadow Over Innsmouth,horror,7.8,14,90
HMM Hug Me More,horror,8.1,1100,102
Halloween Massacre,horror,7.2,29,90
Halloween the 31st: The Curse Continues...,horror,5.3,86,90
Halloween: Evil Lives,horror,3.7,119,90
Halloween: Mal Eterno,horror,8.2,231,90
Halloween: Season of the Boogeyman,horror,8.0,29,90
Halloween: The Evil of Michael Myers,horror,5.3,86,90
Halloween: The Hunt of Michael Myers,horror,8.5,14,81
Handling the Undead,horror,5.3,4600,97
Handsome Guys,horror,6.5,989,101
Hannas 2,horror,3.0,46,79
Hantu Polong,horror,2.8,12,90
Hançer,horror,1.6,7,90
Happy Birthday Luci,horror,9.4,58,90
Happy Halloween,horror,6.2,22,96
Harruk,horror,4.5,22,70
Harvest,horror,5.3,18,90
Haunt Season,horror,4.9,898,81
Haunted New Orleans,horror,5.3,86,90
Haunted Universities 3,horror,5.4,324,119
Haunted by Her Name,horror,2.7,94,90
Hauntology,horror,3.7,374,103
Haze,horror,6.4,53,76
He Sees You When You're Sleeping,horror,4.1,154,83
He's Watching You,horror,5.3,86,90
Head Like a Hole,horror,7.7,12,93
Heirredrum,horror,5.3,86,90
Helen,horror,5.3,86,90
Hell 2: Soil,horror,5.3,86,90
Hell Hole,horror,4.4,1300,92
Hell Squad 2: Fresh Meat,horror,9.3,21,95
Hellboy: The Crooked Man,horror,4.5,15000,99
Hellfire Hades II: 1980's Voodoo,horror,5.3,86,150
Hellhounds,horror,3.4,183,81
Hello Neighbor,horror,7.9,17,90
Hellvira's Haunted Asylum of Horror,horror,5.6,36,118
"Hemet, or the Landlady Don't Drink Tea",horror,4.3,96,89
Here After,horror,4.2,1800,93
Here Lies Daniel,horror,5.3,86,90
Here and Now,horror,5.3,86,85
Heresy,horror,6.9,318,61
Heretic,horror,7.0,168000,111
Heretics,horror,3.8,107,83
Hi8 Resurrectio Director's Cut,horror,5.3,86,77
