Title,Genre,Ratings,Vote_Counts,Runtime
Arrive Alive,thriller,6.0,45,99
Art Work,thriller,6.0,45,91
Art of Diversion,thriller,2.5,12,88
Art of Eight Limbs,thriller,4.0,327,101
Art of War,thriller,6.0,45,99
Article 370,thriller,7.8,25,158
As Neves,thriller,5.4,182,83
Asesinatos en la costa azul,thriller,6.0,45,99
Ashwatthama Hatha Kunjaraha,thriller,6.0,45,124
Ask Me What You Want,thriller,3.9,13,114
Assemblage,thriller,6.4,25,92
Athomugam,thriller,7.0,649,130
Atithi,thriller,9.6,9,99
Atlantikwall,thriller,6.0,45,72
Atlas,thriller,5.6,57,118
Atypical Pirate,thriller,6.0,45,99
Auto,thriller,6.0,45,96
Avaidh,thriller,6.8,20,99
Avaidh 2,thriller,6.0,45,99
Avatar Purusha 2,thriller,4.7,152,124
Baby John,thriller,5.1,17,159
Babygirl,thriller,5.8,64,114
Back Up,thriller,6.0,45,99
Bad Boys: Ride or Die,thriller,6.5,103,115
Bad Fish,thriller,3.3,345,84
Bad Genius,thriller,6.2,26,96
Bad for You,thriller,6.0,45,75
Bade Miyan Chote Miyan,thriller,3.8,39,163
Badland Hunters,thriller,5.9,13,107
Bagheera,thriller,6.7,77,158
Bagundi,thriller,6.0,45,99
Bahirbhoomi,thriller,4.0,11,120
Bahumukham,thriller,8.5,42,90
Baki Hanma VS Kengan Ashura,thriller,5.7,2,62
Balestra,thriller,5.1,544,145
Balipe,thriller,8.5,13,119
Ballistic,thriller,2.2,165,95
Ballot,thriller,6.2,340,102
Balu Gaani Talkies,thriller,8.0,85,122
Bananahead,thriller,6.0,45,99
Bangkok Breaking: Heaven and Hell,thriller,5.8,700,146
Bangkok Dog,thriller,4.8,245,85
Bangsal Isolasi,thriller,4.7,174,76
Banned,thriller,6.0,45,95
Barba Ensopada de Sangue,thriller,5.5,17,108
Barda,thriller,4.6,667,99
Barrier,thriller,6.0,45,90
Barron's Cove,thriller,6.1,186,116
Barroz: Guardian of Treasures,thriller,3.4,11,155
Barzakh,thriller,6.0,45,84
Bato: Road to Death,thriller,5.4,776,137
Beacon,thriller,5.8,462,96
Beautiful Rage: The Break of Dawn,thriller,6.2,15,140
Beauty Grace Malice,thriller,7.6,45,81
Becky,thriller,4.2,169,99
Bedspacer,thriller,4.5,380,90
Beezel,thriller,4.9,15,81
Believer,thriller,4.6,435,108
Beline,thriller,5.5,13,88
Belle,thriller,5.3,140,100
"Bernadotte, Louise & Napoleon",thriller,6.0,45,74
Bet on Black,thriller,6.0,45,99
Between Friends,thriller,6.0,45,90
Beverly Hills Cop: Axel F,thriller,6.4,83,118
Beware the Boogeyman,thriller,5.3,588,110
Beware the Dark,thriller,6.0,45,99
Beyond Your Consciousness: The Beginning,thriller,6.6,56,90
Beyond the Rush,thriller,8.5,648,94
Bhai - Sleeper Cells,thriller,6.0,45,99
Bhaje Vaayu Vegam,thriller,6.1,771,136
BhamaKalapam 2,thriller,5.8,276,128
Bharathanatyam,thriller,5.7,16,169
Bhediya: The Hunter,thriller,6.0,45,125
